SITE_ID,VISIT_NO,DATE_COL,E_I,RT
NLA06608-0179,1,6/4/07,0.78,0.66
NLA06608-0180,1,8/29/07,0.116,0.18
NLA06608-0181,1,9/20/07,0.534,18.59
NLA06608-0183,1,7/25/07,0.24,1.08
NLA06608-0184,1,6/15/07,0.37,0.3
NLA06608-0185,1,8/14/07,0.218,0.28
NLA06608-0189,1,6/11/07,0.082,0.18
NLA06608-0190,1,8/14/07,0.609,2.98
NLA06608-0191,1,7/21/07,0.139,2.68
NLA06608-0193,1,7/11/07,0,0
NLA06608-0195,1,6/12/07,0.362,0.42
NLA06608-0196,1,6/21/07,0.117,0.28
NLA06608-0198,1,7/24/07,0.326,1.42
NLA06608-0201,1,9/18/07,0.03,0.37
NLA06608-0203,1,8/2/07,0.082,0.98
NLA06608-0204,1,9/12/07,0.311,0.28
NLA06608-0207,1,7/18/07,0.607,0.89
NLA06608-0208,1,9/6/07,0.732,1.28
NLA06608-0209,1,7/19/07,0.083,1.32
NLA06608-0211,1,8/7/07,0.718,0.7
NLA06608-0212,1,7/12/07,0.016,0.08
NLA06608-0215,1,8/22/07,0.26,1.38
NLA06608-0216,1,7/6/07,0.589,0.27
NLA06608-0217,1,6/24/07,0.199,0.27
NLA06608-0219,1,8/1/07,0.183,1.05
NLA06608-0220,1,8/2/07,1.09,0.71
NLA06608-0221,1,6/28/07,0.132,0.1
NLA06608-0222,1,6/27/07,0.722,1.38
NLA06608-0223,1,6/27/07,0.141,0.17
NLA06608-0224,1,7/19/07,0.342,1.18
NLA06608-0225,1,7/11/07,0.094,4.14
NLA06608-0226,1,7/9/07,0.111,0.21
NLA06608-0228,1,6/26/07,0.184,0.59
NLA06608-0229,1,9/13/07,0.058,0.05
NLA06608-0234,1,8/23/07,0.675,2.68
NLA06608-0235,1,7/16/07,0.187,3.23
NLA06608-0237,1,6/26/07,0.403,0.41
NLA06608-0238,1,7/11/07,0.718,12.59
NLA06608-0239,1,7/24/07,0.034,0.13
NLA06608-0240,1,7/25/07,0.096,1.3
NLA06608-0241,1,8/15/07,0.16,0.3
NLA06608-0242,1,8/2/07,0.136,0.19
NLA06608-0243,1,7/18/07,0.105,0.64
NLA06608-0244,1,6/20/07,0.409,1.33
NLA06608-0245,1,7/24/07,0.277,1.11
NLA06608-0247,1,7/17/07,0.499,1.32
NLA06608-0253,1,8/8/07,0.207,0.13
NLA06608-0254,1,6/21/07,0.456,1.06
NLA06608-0255,1,8/7/07,0.547,1.13
NLA06608-0257,1,7/18/07,0.053,1.3
NLA06608-0259,1,6/14/07,0.334,0.34
NLA06608-0260,1,8/30/07,0.074,3.83
NLA06608-0268,1,9/10/07,0.204,0.49
NLA06608-0271,1,6/27/07,0.142,0.11
NLA06608-0275,1,6/21/07,0.497,0.81
NLA06608-0276,1,8/7/07,0.152,2.83
NLA06608-0277,1,7/20/07,0.102,0.47
NLA06608-0279,1,8/8/07,0.653,0.52
NLA06608-0280,1,7/25/07,0.19,0.15
NLA06608-0281,1,6/20/07,0.093,0.13
NLA06608-0283,1,7/9/07,0.135,0.39
NLA06608-0284,1,7/30/07,0.11,0.05
NLA06608-0285,1,7/24/07,0.032,0.01
NLA06608-0286,1,8/8/07,0.428,4.37
NLA06608-0290,1,7/11/07,0.223,0.45
NLA06608-0291,1,7/11/07,0.241,5.53
NLA06608-0293,1,7/25/07,0.088,0.3
NLA06608-0294,1,6/26/07,0.03,0.26
NLA06608-0295,1,6/26/07,0.553,1.47
NLA06608-0297,1,7/24/07,0.643,0.63
NLA06608-0299,1,7/30/07,0.226,2.18
NLA06608-0302,1,6/23/07,0.427,0.66
NLA06608-0303,1,8/7/07,0.111,0.19
NLA06608-0306,1,7/16/07,0.38,0.33
NLA06608-0312,1,7/16/07,0.059,0.09
NLA06608-0313,1,7/13/07,0.153,0.12
NLA06608-0318,1,7/20/07,0.182,0.63
NLA06608-0319,1,7/22/07,0.024,0.02
NLA06608-0324,1,8/8/07,0.161,0.4
NLA06608-0325,1,7/17/07,0.342,0.31
NLA06608-0326,1,8/16/07,0.175,0.48
NLA06608-0327,1,6/27/07,0.405,0.15
NLA06608-0328,1,8/25/07,0.213,0.22
NLA06608-0330,1,9/5/07,0.064,0.12
NLA06608-0332,1,9/4/07,0.06,0.43
NLA06608-0333,1,7/24/07,0.152,1.81
NLA06608-0334,1,6/27/07,0.213,0.32
NLA06608-0337,1,7/12/07,0.563,2.85
NLA06608-0339,1,6/25/07,0.693,3.16
NLA06608-0340,1,6/21/07,0.057,0.5
NLA06608-0341,1,9/18/07,0,0.21
NLA06608-0343,1,8/21/07,0.803,1.27
NLA06608-0344,1,7/5/07,0.538,1.46
NLA06608-0345,1,6/21/07,0.116,0.29
NLA06608-0350,1,8/9/07,0.254,1.5
NLA06608-0354,1,7/19/07,0.127,0.18
NLA06608-0356,1,7/16/07,0.391,0.56
NLA06608-0357,1,7/27/07,0.149,0.28
NLA06608-0358,1,7/17/07,0.016,0.03
NLA06608-0359,1,7/10/07,0.089,0.19
NLA06608-0361,1,7/15/07,0.113,0.25
NLA06608-0363,1,7/21/07,0.029,0.17
NLA06608-0366,1,7/31/07,0.06,0.6
NLA06608-0367,1,8/23/07,0.086,0.23
NLA06608-0369,1,7/26/07,0.047,2.31
NLA06608-0372,1,8/3/07,0.228,1.48
NLA06608-0373,1,7/12/07,0.432,9.34
NLA06608-0376,1,8/22/07,0.205,0.75
NLA06608-0377,1,7/12/07,0.133,0.66
NLA06608-0378,1,6/26/07,0.096,0.88
NLA06608-0384,1,6/28/07,0.477,1.39
NLA06608-0385,1,7/6/07,1.103,2.03
NLA06608-0386,1,8/7/07,0.064,0.51
NLA06608-0388,1,8/16/07,0.2,1.48
NLA06608-0393,1,7/23/07,0.033,0.3
NLA06608-0395,1,6/27/07,0.049,0.22
NLA06608-0399,1,7/16/07,0.17,0.28
NLA06608-0401,1,8/27/07,0.008,1.74
NLA06608-0402,1,6/26/07,0.225,0.29
NLA06608-0403,1,8/6/07,0.286,5.37
NLA06608-0405,1,8/30/07,0.098,0.25
NLA06608-0406,1,8/21/07,0.164,0.26
NLA06608-0407,1,7/23/07,0.583,1.33
NLA06608-0408,1,6/20/07,0.111,0.35
NLA06608-0413,1,6/27/07,0.176,0.19
NLA06608-0414,1,7/31/07,0.639,0.47
NLA06608-0418,1,7/19/07,0.223,0.39
NLA06608-0421,1,6/28/07,0.017,0.05
NLA06608-0425,1,8/1/07,0.111,0.27
NLA06608-0426,1,9/17/07,0.384,1.86
NLA06608-0432,1,7/16/07,0.095,0.18
NLA06608-0433,1,8/9/07,0,1.22
NLA06608-0435,1,7/23/07,0.307,1.03
NLA06608-0436,1,9/5/07,0.057,0.13
NLA06608-0439,1,6/27/07,0.68,0.38
NLA06608-0440,1,8/8/07,0.114,0.35
NLA06608-0442,1,8/14/07,0.979,1.15
NLA06608-0444,1,7/12/07,0.429,0
NLA06608-0445,1,6/28/07,0.027,0.09
NLA06608-0447,1,8/25/07,0.191,0.92
NLA06608-0449,1,7/26/07,0.089,0.3
NLA06608-0452,1,6/15/07,0.398,1.31
NLA06608-0453,1,7/31/07,0.505,0.68
NLA06608-0454,1,7/25/07,0.137,0.14
NLA06608-0456,1,8/9/07,0.064,0.21
NLA06608-0458,1,7/25/07,0.413,0.54
NLA06608-0459,1,7/16/07,0.207,0.65
NLA06608-0462,1,8/20/07,0.462,4.11
NLA06608-0463,1,8/19/07,0.209,0.59
NLA06608-0467,1,7/9/07,0.095,1.29
NLA06608-0468,1,8/1/07,0.023,0.37
NLA06608-0469,1,8/29/07,0.069,0.55
NLA06608-0470,1,7/24/07,0.108,0.85
NLA06608-0471,1,6/25/07,0.399,1.64
NLA06608-0472,1,7/16/07,0.058,0.13
NLA06608-0473,1,6/19/07,0.059,0.29
NLA06608-0479,1,8/16/07,0.345,1.03
NLA06608-0480,1,8/24/07,0.214,1.27
NLA06608-0483,1,7/11/07,0.224,1.35
NLA06608-0484,1,7/12/07,0.228,0.13
NLA06608-0488,1,7/19/07,0.031,0.02
NLA06608-0489,1,7/10/07,0.179,0.19
NLA06608-0491,1,7/17/07,0.22,0.16
NLA06608-0493,1,7/11/07,0.054,0.33
NLA06608-0494,1,7/11/07,0.279,4.15
NLA06608-0495,1,9/5/07,0.045,1.21
NLA06608-0496,1,6/23/07,0.643,0.69
NLA06608-0497,1,8/17/07,0.093,4.42
NLA06608-0498,1,7/31/07,0.032,0.1
NLA06608-0500,1,9/14/07,0.074,0.46
NLA06608-0501,1,7/24/07,0.113,0.63
NLA06608-0502,1,8/18/07,0.315,1.65
NLA06608-0503,1,8/1/07,0.655,0.77
NLA06608-0508,1,7/10/07,0.517,0.12
NLA06608-0509,1,6/20/07,0.006,0.1
NLA06608-0510,1,6/27/07,0.489,1.1
NLA06608-0511,1,9/6/07,0.039,0.47
NLA06608-0512,1,8/13/07,0.746,1.4
NLA06608-0514,1,7/24/07,0.023,0.22
NLA06608-0515,1,6/28/07,0.623,1.25
NLA06608-0523,1,7/16/07,0.426,1.05
NLA06608-0526,1,7/18/07,0.215,1.54
NLA06608-0528,1,6/28/07,0.379,2.71
NLA06608-0529,1,9/4/07,0.217,0.64
NLA06608-0530,1,8/7/07,0.416,0.28
NLA06608-0531,1,7/11/07,0.641,0.58
NLA06608-0533,1,7/18/07,0.029,0.1
NLA06608-0537,1,6/6/07,0.08,0.27
NLA06608-0540,1,8/27/07,0.565,0.41
NLA06608-0541,1,7/12/07,0.173,0.53
NLA06608-0542,1,8/30/07,0.829,0.67
NLA06608-0546,1,7/18/07,0.053,0.05
NLA06608-0547,1,7/31/07,0.159,0.51
NLA06608-0550,1,8/1/07,0.024,0.19
NLA06608-0551,1,8/20/07,0.141,1.05
NLA06608-0555,1,7/23/07,0.17,0.97
NLA06608-0558,1,8/9/07,0.736,1.77
NLA06608-0560,1,9/12/07,0.589,3.01
NLA06608-0561,1,8/9/07,0.047,1.49
NLA06608-0562,1,7/13/07,0.072,0.27
NLA06608-0564,1,8/22/07,0.049,0.5
NLA06608-0565,1,7/19/07,0.113,0.21
NLA06608-0569,1,8/7/07,0.458,0.19
NLA06608-0570,1,7/27/07,0.142,1.86
NLA06608-0579,1,8/19/07,0.64,0.4
NLA06608-0580,1,8/7/07,0.087,1
NLA06608-0581,1,7/3/07,0.12,0.91
NLA06608-0582,1,7/19/07,0.018,0.04
NLA06608-0583,1,6/26/07,0.743,0.18
NLA06608-0585,1,6/15/07,0.114,2
NLA06608-0587,1,7/9/07,0.26,0.99
NLA06608-0588,1,7/13/07,0.382,0.46
NLA06608-0590,1,8/7/07,0.213,0.44
NLA06608-0591,1,8/21/07,0.093,0.45
NLA06608-0593,1,7/10/07,0.087,1.37
NLA06608-0594,1,8/9/07,0.243,0.14
NLA06608-0595,1,6/12/07,0.59,0.89
NLA06608-0596,1,7/30/07,0.029,0.94
NLA06608-0597,1,7/9/07,0.172,3.44
NLA06608-0599,1,7/19/07,0.062,0.13
NLA06608-0606,1,8/8/07,0.432,2.04
NLA06608-0608,1,9/18/07,0.301,0.27
NLA06608-0609,1,7/25/07,0.405,0.59
NLA06608-0610,1,8/2/07,0.13,0.35
NLA06608-0611,1,7/2/07,0.201,1.15
NLA06608-0614,1,6/27/07,0.078,0.62
NLA06608-0616,1,7/25/07,0.186,0.23
NLA06608-0617,1,6/19/07,0.281,0.53
NLA06608-0618,1,7/24/07,0.139,0.19
NLA06608-0619,1,7/18/07,0.041,0.22
NLA06608-0622,1,7/24/07,0.238,1.59
NLA06608-0623,1,6/20/07,0.053,0.09
NLA06608-0624,1,6/5/07,0.077,0.35
NLA06608-0625,1,9/19/07,0.086,0.8
NLA06608-0627,1,7/19/07,0.612,2.19
NLA06608-0628,1,6/25/07,0.435,1.19
NLA06608-0630,1,7/30/07,0.515,0.85
NLA06608-0632,1,6/12/07,0.68,2.25
NLA06608-0634,1,8/22/07,0.726,0.95
NLA06608-0635,1,8/22/07,0.089,0.7
NLA06608-0637,1,8/6/07,0.099,1.4
NLA06608-0641,1,7/25/07,0.043,0.34
NLA06608-0648,1,8/1/07,0.824,0.67
NLA06608-0649,1,9/19/07,0.089,0.4
NLA06608-0650,1,7/25/07,0.142,0.67
NLA06608-0651,1,7/17/07,0.231,0.68
NLA06608-0654,1,8/14/07,0.764,0.91
NLA06608-0657,1,9/13/07,0.173,0.27
NLA06608-0658,1,7/26/07,0.173,1.99
NLA06608-0659,1,6/26/07,0.126,0.49
NLA06608-0660,1,7/12/07,0.211,0.81
NLA06608-0661,1,8/8/07,0.079,0.17
NLA06608-0662,1,8/7/07,0.084,0.24
NLA06608-0663,1,8/8/07,0.589,0.39
NLA06608-0665,1,6/27/07,0.084,0.08
NLA06608-0671,1,8/16/07,0.182,0.82
NLA06608-0672,1,7/26/07,0.286,0.2
NLA06608-0674,1,7/26/07,0.128,0.2
NLA06608-0677,1,7/17/07,0.602,1.05
NLA06608-0678,1,8/7/07,0.044,0.09
NLA06608-0679,1,6/27/07,0.569,1.25
NLA06608-0681,1,6/14/07,0.104,0.15
NLA06608-0686,1,7/11/07,0.62,0.39
NLA06608-0687,1,8/14/07,0.043,0.53
NLA06608-0690,1,7/3/07,0.049,0.12
NLA06608-0692,1,7/10/07,0.123,0.26
NLA06608-0693,1,7/25/07,0.034,0.06
NLA06608-0696,1,7/16/07,0.149,0.15
NLA06608-0707,1,7/12/07,0.865,0.51
NLA06608-0709,1,9/18/07,0.962,0.73
NLA06608-0710,1,7/24/07,0.121,0.42
NLA06608-0711,1,9/10/07,0.124,0.27
NLA06608-0712,1,7/24/07,0.101,0.15
NLA06608-0713,1,9/12/07,0.176,1.24
NLA06608-0715,1,7/6/07,0.026,0.72
NLA06608-0717,1,6/14/07,0.056,0.06
NLA06608-0718,1,7/18/07,0.6,0.49
NLA06608-0720,1,6/26/07,0.304,0.95
NLA06608-0721,1,7/5/07,0.119,0.37
NLA06608-0723,1,8/18/07,0.695,0.81
NLA06608-0724,1,8/13/07,0.257,0.67
NLA06608-0726,1,8/14/07,0.018,0.07
NLA06608-0727,1,6/23/07,0.542,1.06
NLA06608-0731,1,8/7/07,0.266,0.78
NLA06608-0733,1,6/27/07,0.36,0.25
NLA06608-0734,1,7/24/07,0.064,0.13
NLA06608-0738,1,8/16/07,0.11,1.03
NLA06608-0743,1,6/26/07,0.206,0.82
NLA06608-0744,1,7/18/07,0.016,0.02
NLA06608-0749,1,7/17/07,0.049,0.03
NLA06608-0751,1,7/25/07,0.078,0.68
NLA06608-0753,1,7/19/07,0.098,0.7
NLA06608-0754,1,7/2/07,0.131,1.65
NLA06608-0755,1,6/20/07,0.123,0.14
NLA06608-0756,1,6/25/07,0.424,0.86
NLA06608-0759,1,8/7/07,0.476,0.25
NLA06608-0761,1,9/6/07,0.169,0.54
NLA06608-0762,1,8/16/07,0.635,1.13
NLA06608-0764,1,6/26/07,0.206,1.01
NLA06608-0765,1,6/5/07,0.014,0.01
NLA06608-0766,1,7/18/07,0.388,4.43
NLA06608-0769,1,7/24/07,0.146,0.45
NLA06608-0770,1,5/8/07,0.473,0.39
NLA06608-0771,1,8/13/07,1.316,3.67
NLA06608-0775,1,7/25/07,0.056,0.1
NLA06608-0779,1,7/31/07,0.546,0.35
NLA06608-0781,1,7/26/07,0.116,0.16
NLA06608-0782,1,7/31/07,0.182,1.04
NLA06608-0783,1,8/14/07,0.354,0.12
NLA06608-0785,1,9/12/07,0.13,0.55
NLA06608-0792,1,8/16/07,0.214,0.92
NLA06608-0793,1,6/18/07,0.092,0.37
NLA06608-0794,1,6/9/07,0.077,3.78
NLA06608-0797,1,6/28/07,0.074,0.08
NLA06608-0802,1,7/20/07,0.084,0.13
NLA06608-0804,1,8/19/07,0.202,0.34
NLA06608-0805,1,8/22/07,0.167,0.44
NLA06608-0806,1,9/7/07,0.1,0.32
NLA06608-0807,1,7/11/07,0.658,2.35
NLA06608-0808,1,9/6/07,0.402,0.46
NLA06608-0809,1,7/24/07,0.324,1.16
NLA06608-0811,1,7/23/07,0.244,1.2
NLA06608-0812,1,6/28/07,0.511,0.93
NLA06608-0815,1,7/17/07,0.013,0.01
NLA06608-0820,1,8/6/07,0.033,0.01
NLA06608-0823,1,7/26/07,0.329,3.98
NLA06608-0824,1,9/5/07,0.227,0.81
NLA06608-0825,1,9/6/07,0.171,0.44
NLA06608-0827,1,7/5/07,0.399,1.42
NLA06608-0828,1,7/11/07,0.404,0.41
NLA06608-0830,1,8/30/07,0.565,0.21
NLA06608-0831,1,7/19/07,0.007,0.25
NLA06608-0833,1,8/7/07,0.149,0.97
NLA06608-0834,1,6/1/07,0.165,0.9
NLA06608-0836,1,8/29/07,0.602,0.8
NLA06608-0837,1,7/19/07,0.216,0.31
NLA06608-0842,1,8/1/07,0.073,2.04
NLA06608-0843,1,7/18/07,0.325,0.46
NLA06608-0846,1,8/28/07,0.331,0.62
NLA06608-0847,1,8/30/07,0.272,0.31
NLA06608-0849,1,7/31/07,0.221,4.54
NLA06608-0850,1,8/7/07,0.044,0.7
NLA06608-0851,1,6/5/07,0.354,0.76
NLA06608-0856,1,6/19/07,0.183,0.53
NLA06608-0857,1,6/22/07,0.077,0.16
NLA06608-0859,1,7/5/07,0.128,0.83
NLA06608-0860,1,7/19/07,0.021,0.06
NLA06608-0862,1,8/8/07,0.574,2.76
NLA06608-0863,1,7/2/07,0.068,0.19
NLA06608-0864,1,6/25/07,0.832,4.03
NLA06608-0865,1,9/12/07,0.338,0.3
NLA06608-0868,1,8/18/07,0.24,0.43
NLA06608-0869,1,8/9/07,0.07,0.06
NLA06608-0870,1,8/9/07,0,0.09
NLA06608-0871,1,7/12/07,0.563,0.86
NLA06608-0872,1,6/21/07,0.254,0.32
NLA06608-0873,1,6/20/07,0.21,0.88
NLA06608-0874,1,8/30/07,0.04,0.28
NLA06608-0875,1,9/14/07,0.629,2.24
NLA06608-0877,1,9/13/07,0.365,7.06
NLA06608-0878,1,8/1/07,0.312,2.79
NLA06608-0880,1,7/17/07,0.49,0.84
NLA06608-0881,1,7/30/07,0.028,0.3
NLA06608-0885,1,7/11/07,0.215,0.56
NLA06608-0889,1,7/11/07,0.055,0.11
NLA06608-0890,1,7/30/07,0.237,1.52
NLA06608-0891,1,8/18/07,0.237,0.33
NLA06608-0893,1,6/28/07,0.001,0.06
NLA06608-0895,1,7/9/07,0.394,0.33
NLA06608-0899,1,6/20/07,0.619,0.92
NLA06608-0900,1,6/18/07,0.09,0.26
NLA06608-0904,1,7/31/07,0.21,0.17
NLA06608-0905,1,6/21/07,0.365,3.91
NLA06608-0906,1,6/12/07,0.005,0.85
NLA06608-0913,1,9/6/07,0.368,0.65
NLA06608-0914,1,8/2/07,0.276,1.69
NLA06608-0915,1,8/8/07,0.517,0.53
NLA06608-0916,1,8/8/07,0.045,0.33
NLA06608-0918,1,8/14/07,0.022,0.27
NLA06608-0921,1,6/25/07,0.118,0.27
NLA06608-0922,1,6/8/07,0.15,3.06
NLA06608-0924,1,8/12/07,0.248,0.2
NLA06608-0925,1,10/3/07,0.163,0.56
NLA06608-0926,1,8/6/07,0.401,6.11
NLA06608-0927,1,8/15/07,0.226,1.15
NLA06608-0929,1,6/16/07,0.112,0.78
NLA06608-0930,1,8/21/07,0.149,2.61
NLA06608-0933,1,7/31/07,0.02,0.08
NLA06608-0934,1,8/28/07,0.297,10.38
NLA06608-0935,1,8/6/07,0.52,2.53
NLA06608-0938,1,8/7/07,0.04,0.37
NLA06608-0940,1,8/17/07,0.139,0.18
NLA06608-0942,1,7/10/07,0.32,4.56
NLA06608-0943,1,9/11/07,0.055,0.47
NLA06608-0944,1,6/24/07,0.301,0.43
NLA06608-0946,1,8/14/07,0.281,0.3
NLA06608-0950,1,8/2/07,0.229,1.76
NLA06608-0955,1,6/3/07,0.05,0.67
NLA06608-0957,1,6/21/07,0.157,0.51
NLA06608-0958,1,8/15/07,0.278,0.96
NLA06608-0961,1,7/25/07,0.142,0.49
NLA06608-0962,1,7/17/07,0.046,0.9
NLA06608-0967,1,7/30/07,0.43,0.25
NLA06608-0968,1,8/1/07,0.984,0.76
NLA06608-0970,1,6/10/07,0.081,3.31
NLA06608-0971,1,7/26/07,0.059,0.4
NLA06608-0972,1,7/9/07,0.008,0.01
NLA06608-0974,1,7/16/07,0.153,1.62
NLA06608-0979,1,5/30/07,0.489,1.62
NLA06608-0980,1,7/12/07,0.089,0.08
NLA06608-0982,1,8/14/07,0.062,0.57
NLA06608-0984,1,9/26/07,0.044,0.03
NLA06608-0986,1,7/18/07,0.376,0.75
NLA06608-0987,1,7/30/07,0.445,2.24
NLA06608-0989,1,7/31/07,0.147,0.14
NLA06608-0990,1,7/30/07,0.454,1.38
NLA06608-0993,1,9/20/07,0.059,1.57
NLA06608-0994,1,8/23/07,0.105,0.34
NLA06608-0996,1,6/26/07,0.367,0.36
NLA06608-0997,1,8/3/07,0.066,0.55
NLA06608-1001,1,6/15/07,0.074,0.06
NLA06608-1002,1,6/28/07,0.226,0.26
NLA06608-1003,1,7/23/07,0.299,1.52
NLA06608-1005,1,7/19/07,0.106,0.08
NLA06608-1006,1,6/19/07,0.706,1.93
NLA06608-1007,1,8/2/07,0.145,0.34
NLA06608-1008,1,7/12/07,0.256,3.7
NLA06608-1010,1,8/9/07,0.016,0.24
NLA06608-1012,1,10/17/07,0.315,0.36
NLA06608-1014,1,9/13/07,0.224,2.39
NLA06608-1015,1,8/14/07,0.475,0.5
NLA06608-1016,1,7/23/07,0.063,0.07
NLA06608-1018,1,8/2/07,0.479,0.47
NLA06608-1022,1,7/10/07,0.814,0.93
NLA06608-1024,1,8/7/07,0.81,1.28
NLA06608-1034,1,8/16/07,0.18,0.92
NLA06608-1035,1,8/14/07,0.61,0.95
NLA06608-1036,1,6/14/07,0.292,0.55
NLA06608-1037,1,9/5/07,0.011,0.03
NLA06608-1038,1,8/3/07,0.251,0.92
NLA06608-1039,1,8/28/07,0.69,1.01
NLA06608-1041,1,8/16/07,0.296,3.12
NLA06608-1044,1,7/10/07,0.02,0.02
NLA06608-1045,1,8/29/07,0.102,2.19
NLA06608-1047,1,6/26/07,0.227,0.89
NLA06608-1052,1,6/27/07,0.239,0.81
NLA06608-1055,1,7/24/07,0.34,0.61
NLA06608-1056,1,9/27/07,0.238,0.93
NLA06608-1057,1,8/14/07,0.018,0.31
NLA06608-1058,1,9/5/07,0.322,5.15
NLA06608-1059,1,7/30/07,0.151,0.46
NLA06608-1060,1,8/14/07,0.501,0.35
NLA06608-1070,1,7/11/07,0.45,1.24
NLA06608-1073,1,8/13/07,0.054,1.66
NLA06608-1075,1,8/27/07,0.87,1.66
NLA06608-1083,1,6/29/07,0.17,0.72
NLA06608-1086,1,8/27/07,0.853,1.12
NLA06608-1087,1,7/20/07,0.271,0.31
NLA06608-1089,1,7/20/07,0.409,3.41
